country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
Switzerland,2015,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,CHE,38.73182,4.676778,679832291693.257,82081.5971239792,87.4790556,82.8975609756098,8282396.0,112.730195008571,4.80100011825562,73.718
Iceland,2015,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,ISL,3.533853,10.674359,17344165907.2129,52428.5957626253,98.2,82.4682926829268,330815.0,96.7245027606141,3.97900009155273,93.7
Denmark,2015,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,DNK,35.227979,6.204517,302673037998.602,53254.8505904922,96.3305,80.7024390243902,5683483.0,104.048211609365,6.16800022125244,87.526
Norway,2015,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,NOR,45.59,8.784381,386663139402.707,74521.56993249,96.8103,82.3048780487805,5188607.0,69.8096542912451,4.2960000038147,81.091
Canada,2015,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,CAN,574.29819,16.072321,1552521512853.35,43327.1736440408,88.47,81.9,35832513.0,65.755325111402,6.9060001373291,81.259
Finland,2015,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,FIN,44.099095,8.048072,232850788304.513,42494.6566238083,86.42213333,81.4804878048781,5479531.0,73.181489102271,9.37600040435791,85.225
Netherlands,2015,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,NLD,164.142511,9.632151,765264949780.999,45175.2318933798,91.72413793,81.509756097561,16939923.0,157.816576039698,6.87200021743774,90.173
Sweden,2015,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,SWE,43.741733,4.441079,498117638852.897,50832.5527092655,90.6102,82.2048780487805,9799186.0,86.2062580342508,7.43200016021729,86.553
New Zealand,2015,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,NZL,35.813107,7.801417,177620948761.31,38649.3784975761,88.22288882,81.4568292682927,4595700.0,54.3901941076701,5.36499977111816,86.341
Australia,2015,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,AUS,401.793062,16.86772,1349034029453.37,56644.0339550527,84.56051935,82.4,23815995.0,41.5473873260458,6.05600023269653,85.701
Israel,2015,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,ISR,62.939149,7.859752,300470790394.923,35855.2750438447,77.35208966,82.0512195121951,8380100.0,59.4022318153743,5.25099992752075,92.179
Costa Rica,2015,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,CRI,7.406021,1.512902,54775994478.4981,11393.0284206956,59.76295014,79.634,4807852.0,62.518296399044,8.99899959564209,76.862
Austria,2015,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,AUT,66.348823,7.677111,381805676697.707,44176.6717431334,83.94014193,81.190243902439,8642699.0,102.430054670253,5.72300004959106,57.715
Mexico,2015,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,MEX,479.519778,3.991013,1170564619927.69,9298.24287787114,57.43104299,76.933,125890949.0,71.1663144806972,4.31300020217896,79.285
United States,2015,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,USA,5376.577933,16.563306,18219297000000.0,56803.4706127176,74.55420245,78.690243902439,320742673.0,27.7261411348638,5.28000020980835,81.671
Brazil,2015,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,529.353,2.579841,1802214373741.32,8750.22299607324,58.32795173,75.284,205962108.0,26.9536259376792,8.4370002746582,85.77
Luxembourg,2015,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,LUX,9.347466,16.416113,57204400105.015,100428.367962681,96.38,82.2926829268293,569604.0,416.389235822583,6.66900014877319,90.179
Ireland,2015,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,IRL,38.71804,8.298335,291092489805.942,61908.7945308607,83.49479167,81.4536585365854,4701957.0,215.437678678111,9.9040002822876,62.538
Belgium,2015,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,BEL,101.061722,8.984619,455837758493.348,40431.9526193574,85.0529,80.9926829268293,11274196.0,160.172010329671,8.48200035095215,97.876
United Arab Emirates,2015,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,ARE,216.377091,24.265957,358135057862.492,39122.0497054272,90.5,77.101,9154302.0,175.221307567909,1.83599996566772,85.674
United Kingdom,2015,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,GBR,422.460794,6.47704,2896420586534.4,44472.1517014461,92.0003,80.9560975609756,65128861.0,56.2391637686534,5.30100011825562,82.626
Oman,2015,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,OMN,67.376195,16.073425,68921456436.9311,16410.6129650939,73.53,76.801,4199810.0,110.074322366162,3.54200005531311,81.35
Venezuela,2015,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,VEN,165.853061,5.432512,,,60.0,74.367,31155134.0,,6.82000017166138,88.154
Singapore,2015,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,SGP,56.465904,9.993933,304097759674.134,54940.8581377449,79.012957,82.7439024390244,5535002.0,329.047899699957,3.78999996185303,100.0
Panama,2015,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,PAN,10.78844,2.726351,54091713775.5634,13627.6947542377,51.20542499,77.806,3969249.0,99.9366829033362,3.00200009346008,66.696
Germany,2015,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,DEU,795.55657,9.693253,3381389338658.82,41394.6581607948,84.39550077,80.6414634146341,81686611.0,85.7119710317955,4.62400007247925,77.2
Chile,2015,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,CHL,81.756505,4.575038,243999477737.94,13736.6356879313,76.63,79.315,17762681.0,58.9528438182819,6.50799989700317,87.36
